Episode 0/100, Score: -21.0 (0.01), AVG Score: -21.0, Steps: 1099
Episode 1/100, Score: -21.0 (0.01), AVG Score: -21.0, Steps: 2207
Episode 2/100, Score: -21.0 (0.01), AVG Score: -21.0, Steps: 3226
Episode 3/100, Score: -20.0 (0.01), AVG Score: -20.75, Steps: 4405
Episode 4/100, Score: -21.0 (0.01), AVG Score: -20.8, Steps: 5430
Episode 5/100, Score: -21.0 (0.01), AVG Score: -20.833333333333332, Steps: 6475
Episode 6/100, Score: -21.0 (0.01), AVG Score: -20.857142857142858, Steps: 7489
Episode 7/100, Score: -21.0 (0.01), AVG Score: -20.875, Steps: 8499
Episode 8/100, Score: -21.0 (0.01), AVG Score: -20.88888888888889, Steps: 9514
Episode 9/100, Score: -21.0 (0.01), AVG Score: -20.9, Steps: 10539
Episode 10/100, Score: -21.0 (0.01), AVG Score: -20.90909090909091, Steps: 11657
Episode 11/100, Score: -21.0 (0.01), AVG Score: -20.916666666666668, Steps: 12851
Episode 12/100, Score: -21.0 (0.01), AVG Score: -20.923076923076923, Steps: 13865
Episode 13/100, Score: -21.0 (0.01), AVG Score: -20.928571428571427, Steps: 14871
Episode 14/100, Score: -21.0 (0.01), AVG Score: -20.933333333333334, Steps: 15888
Episode 15/100, Score: -21.0 (0.01), AVG Score: -20.9375, Steps: 16904
Episode 16/100, Score: -21.0 (0.01), AVG Score: -20.941176470588236, Steps: 18010
Episode 17/100, Score: -21.0 (0.01), AVG Score: -20.944444444444443, Steps: 19099
Episode 18/100, Score: -21.0 (0.01), AVG Score: -20.94736842105263, Steps: 20112
Episode 19/100, Score: -21.0 (0.01), AVG Score: -20.95, Steps: 21214
Episode 20/100, Score: -21.0 (0.01), AVG Score: -20.952380952380953, Steps: 22226
Episode 21/100, Score: -21.0 (0.01), AVG Score: -20.954545454545453, Steps: 23259
Episode 22/100, Score: -21.0 (0.01), AVG Score: -20.956521739130434, Steps: 24312
Episode 23/100, Score: -21.0 (0.01), AVG Score: -20.958333333333332, Steps: 25410
Episode 24/100, Score: -21.0 (0.01), AVG Score: -20.96, Steps: 26503
Episode 25/100, Score: -21.0 (0.01), AVG Score: -20.96153846153846, Steps: 27523
Episode 26/100, Score: -21.0 (0.01), AVG Score: -20.962962962962962, Steps: 28549
Episode 27/100, Score: -21.0 (0.01), AVG Score: -20.964285714285715, Steps: 29659
Episode 28/100, Score: -21.0 (0.01), AVG Score: -20.96551724137931, Steps: 30750
Episode 29/100, Score: -21.0 (0.01), AVG Score: -20.966666666666665, Steps: 31843
Episode 30/100, Score: -21.0 (0.01), AVG Score: -20.967741935483872, Steps: 32872
Episode 31/100, Score: -16.0 (0.01), AVG Score: -20.8125, Steps: 34621
Episode 32/100, Score: -21.0 (0.01), AVG Score: -20.818181818181817, Steps: 35689
Episode 33/100, Score: -21.0 (0.01), AVG Score: -20.823529411764707, Steps: 36769
Episode 34/100, Score: -21.0 (0.01), AVG Score: -20.82857142857143, Steps: 37795
Episode 35/100, Score: -21.0 (0.01), AVG Score: -20.833333333333332, Steps: 38816
Episode 36/100, Score: -21.0 (0.01), AVG Score: -20.83783783783784, Steps: 39850
Episode 37/100, Score: -21.0 (0.01), AVG Score: -20.842105263157894, Steps: 40869
Episode 38/100, Score: -21.0 (0.01), AVG Score: -20.846153846153847, Steps: 41915
Episode 39/100, Score: -21.0 (0.01), AVG Score: -20.85, Steps: 42929
Episode 40/100, Score: -21.0 (0.01), AVG Score: -20.853658536585368, Steps: 43953
